No,Bulan,Konsumen,Kode Produk,Nama Produk,Stock Ready,Jumlah Barang,Jlh barang,Harga,Jumlah Harga,,,
441,2020-04,"PALOPAT FARMA, APT",TRMG001,ANTASIDA DOEN TABLET 100'S (POT),"4,116",20 POT,20,"6,700","134,000",,,
442,2020-04,"PALOPAT FARMA, APT",TRMG002,ALLOPURINOL 100 MG TABLET 100'S,597,60 BOX,60,"14,500","870,000",,,
443,2020-04,"PALOPAT FARMA, APT",TRMG003,PREDNISON 5 MG TABLET 100'S,612,15 BOX,15,"12,500","187,500",,,
444,2020-04,"PALOPAT FARMA, APT",YKT003,TRIADENE 20 MG TABLET 100's,191,10 BOX,10,"18,500","185,000",,,
445,2020-04,"PALOPAT FARMA, APT",YKT022,YEKAPRIM SYRUP 60 ML,400,100 BTL,100,"3,850","385,000",,,
446,2020-04,"PALOPAT FARMA, APT",YKT033,PACETIK 500 MG KAPLET 100's ( POT ),235,10 POT,10,"15,500","155,000",,,
447,2020-05,"FAMILY, APOTEK",NPH064,REMACORT KAPLET 100'S,85,50 POT,50,"13,250","662,500",,,
448,2020-05,"FAMILY, APOTEK",RAM005,ERYRA SYRUP 60 ML,784,24 BTL,24,"13,500","324,000",,,
449,2020-05,"FAMILY, APOTEK",RAM052,BROXOLIC 15 MG SYRUP 60 ML,400,50 BTL,50,"3,600","180,000",,,
450,2020-05,"FAMILY, APOTEK",TRM032,"MEFFU EKSPEKTORAN (Paracetamol, CTM, Phenyephrine HCl, GG) KAPLET 100'S",87,15 BOX,15,"32,500","487,500",,,
451,2020-05,"FAMILY, APOTEK",ZNT039,COLDREXIN SYRUP 60 ML,"1,040",48 BTL,48,"6,200","297,600",,,
452,2020-05,"TAMBA JAYA, APT",BMF009,"DEXTACO (Dexametason 0.5 mg, Dex-ctm 2 mg) KAPLET 100'S",76,50 BOX,50,"19,250","962,500",,,
453,2020-05,"TAMBA JAYA, APT",ERG007,PARACETAMOL 500 MG KAPLET 100'S,"1,814",100 BOX,100,"15,500","1,550,000",,,
454,2020-05,"TAMBA JAYA, APT",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,"1,196",50 BOX,50,"20,000","1,000,000",,,
455,2020-05,"TAMBA JAYA, APT",ERT001,ETABION KAPSUL 100'S,"1,310",30 BOX,30,"21,500","645,000",,,
456,2020-05,"TAMBA JAYA, APT",ERT011,ETAFENIN 500 MG KAPLET 100'S,,7 BOX,7,"26,000","182,000",,,
457,2020-05,"TAMBA JAYA, APT",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,"1,295",150 BTL,150,"4,800","720,000",,,
458,2020-05,"TAMBA JAYA, APT",ERT022,ETAMOXUL KAPLET 100'S,344,20 BOX,20,"22,750","455,000",,,
459,2020-05,"TAMBA JAYA, APT",IFR013,ELTAZON KAPLET 100'S/BLISTER,116,50 BOX,50,"15,750","787,500",,,
460,2020-05,"TAMBA JAYA, APT",IFR021,FAXIDEN 20 MG KAPLET 100'S,227,50 BOX,50,"19,950","997,500",,,
461,2020-05,"TAMBA JAYA, APT",IFR040,ROVERTON KAPLET 100'S,140,50 BOX,50,"15,900","795,000",,,
462,2020-05,"TAMBA JAYA, APT",IFR049,VESPERUM 10 MG TABLET 100'S,82,30 BOX,30,"21,250","637,500",,,
463,2020-05,"TAMBA JAYA, APT",LAN004,LANAMOL 500 MG KAPLET 100'S,87,30 BOX,30,"24,000","720,000",,,
464,2020-05,"TAMBA JAYA, APT",MLX009,MOLEXFLU PE 10 Catch Cover @1 strip @10 Kaplet,152,66 BOX,66,"55,000","3,630,000",,,
465,2020-05,"TAMBA JAYA, APT",NPG011,METRONIDAZOLE 500 MG TABLET 100's,571,50 BOX,50,"16,500","825,000",,,
466,2020-05,"TAMBA JAYA, APT",NPG018,IBUPROFEN 400 MG TABLET 100'S,307,50 BOX,50,"19,500","975,000",,,
467,2020-05,"TAMBA JAYA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,"2,948",50 BOX,50,"8,500","425,000",,,
468,2020-05,"TAMBA JAYA, APT",NPH003,NOVABIOTIC 500 MG KAPLET 100's,280,30 BOX,30,"58,000","1,740,000",,,
469,2020-05,"TAMBA JAYA, APT",NPH006,NOVAGESIC SYRUP 60 ML,"2,268",180 BTL,180,"3,900","702,000",,,
470,2020-05,"TAMBA JAYA, APT",NPH008,NOVAKAL 500 MG KAPLET 100's,475,20 BOX,20,"12,500","250,000",,,
471,2020-05,"TAMBA JAYA, APT",NPH012,NOVATRIM SYRUP 60 ML,"1,965",180 BTL,180,"4,100","738,000",,,
472,2020-05,"TAMBA JAYA, APT",NPH013,NOVAXICAM 20 MG KAPSUL 100's,"1,114",50 BOX,50,"19,500","975,000",,,
473,2020-05,"TAMBA JAYA, APT",NPH015,NOVAFLOX 500 MG KAPLET 100's,"1,444",50 BOX,50,"46,000","2,300,000",,,
474,2020-05,"TAMBA JAYA, APT",NPH020,NOVASTAN SYRUP 60 ML,"1,724",180 BTL,180,"5,300","954,000",,,
475,2020-05,"TAMBA JAYA, APT",NPH023,NOVAMAG SYRUP 60 ML,"1,440",180 BTL,180,"4,800","864,000",,,
476,2020-05,"TAMBA JAYA, APT",NPH027,"NOVADEX 0,5 MG TABLET 200's",374,50 BOX,50,"16,500","825,000",,,
477,2020-05,"TAMBA JAYA, APT",NPH032,NOVAXIFEN 100 MG SYRUP 60 ML (Strawberry),"1,648",180 BTL,180,"4,250","765,000",,,
478,2020-05,"TAMBA JAYA, APT",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,180,180 BTL,180,"3,900","702,000",,,
479,2020-05,"TAMBA JAYA, APT",NPH037,VADROL 4 MG TABLET 100'S,148,30 BOX,30,"31,000","930,000",,,
480,2020-05,"TAMBA JAYA, APT",NPH083,GRICIN 125 MG TABLET 100's,540,20 BOX,20,"32,500","650,000",,,
481,2020-05,"TAMBA JAYA, APT",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,335,10 BOX,10,"15,000","150,000",,,
482,2020-05,"TAMBA JAYA, APT",RAM003,DEXCLOSAN TABLET 100's,148,50 BOX,50,"14,000","700,000",,,
483,2020-05,"TAMBA JAYA, APT",RAM005,ERYRA SYRUP 60 ML,784,150 BTL,150,"13,500","2,025,000",,,
484,2020-05,"TAMBA JAYA, APT",RAM011,TERA F KAPLET 100's,565,100 BOX,100,"40,000","4,000,000",,,
485,2020-05,"TAMBA JAYA, APT",SMC018,SAMTACID TABLET 100'S,"2,480",30 BOX,30,"20,650","619,500",,,
486,2020-05,"TAMBA JAYA, APT",TRM004,TRIMAKAL KAPLET 100'S,170,20 BOX,20,"13,000","260,000",,,
487,2020-05,"TAMBA JAYA, APT",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,631,100 BOX,100,"19,500","1,950,000",,,
488,2020-05,"TAMBA JAYA, APT",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),"14,050",50 POT,50,"5,800","290,000",,,
489,2020-05,"TAMBA JAYA, APT",YKT001,PACETIK 500 MG KAPLET 100's,235,30 BOX,30,"19,500","585,000",,,
490,2020-05,"TAMBA JAYA, APT",YKT009,YEKAPONS 500 MG KAPLET 100'S,361,25 BOX,25,"23,250","581,250",,,
491,2020-05,"TAMBA JAYA, APT",YKT027,CYROX KAPLET 100'S,228,50 BOX,50,"46,500","2,325,000",,,
492,2020-05,PT. PRATAMA MANDIRI SAKTI,NPG011,METRONIDAZOLE 500 MG TABLET 100's,521,50 BOX,50,"16,500","825,000",,,
493,2020-05,PT. PRATAMA MANDIRI SAKTI,PROG022,MEFENAMIC ACID 500 MG KAPLET 100'S,"1,146",50 BOX,50,"20,000","1,000,000",,,
494,2020-05,"DHARMA HUSADA, APTK",DEF009,VITAMIN B COMPLEX TABLET 100'S,536,200 POT,200,"4,500","900,000",,,
495,2020-05,"DHARMA HUSADA, APTK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"1,544",200 BTL,200,"4,750","950,000",,,
496,2020-05,"YASSER, CV. APT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"2,005",10 BOX,10,"7,500","75,000",,,
497,2020-05,"YASSER, CV. APT",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"12,290",60 BOX,60,"7,600","456,000",,,
498,2020-05,"YASSER, CV. APT",LAN001,"LANADEXON 0,5 MG KALPET 100'S",180,10 BOX,10,"12,000","120,000",,,
499,2020-05,"YASSER, CV. APT",NPG057,CETIRIZINE HYDROCHLORIDE 10 MG TABLET 100'S,"1,852",100 BOX,100,"7,500","750,000",,,
500,2020-05,"YASSER, CV. APT",NPH083,GRICIN 125 MG TABLET 100's,540,30 BOX,30,"32,500","975,000",,,
501,2020-05,"YASSER, CV. APT",RAG012,AMLODIPINE BESILATE 5 MG TABLET 100'S,258,100 BOX,100,"9,500","950,000",,,
502,2020-05,"YASSER, CV. APT",SPD003,"CARBIDU 0,5 MG TABLET 200'S",595,10 BOX,10,"23,500","235,000",,,
503,2020-05,"YASSER, CV. APT",SPD007,BROADAPEN 500 MG KAPLET 100'S,49,10 BOX,10,"61,500","615,000",,,
504,2020-05,"YASSER, CV. APT",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,531,10 BOX,10,"19,500","195,000",,,
505,2020-05,TOKO OBAT GIAT SENTOSA,AFI022,QOM (Borax Glycerine 10%) 10 ml /24'S,964,360 BTL,360,"3,100","1,116,000",,,
506,2020-05,"CITRA, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"12,230",300 BOX,300,"7,600","2,280,000",,,
507,2020-05,"CITRA, APTK",RAM001,CALORTUSIN KAPLET 100's,695,50 BOX,50,"41,000","2,050,000",,,
508,2020-05,"CITRA, APTK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,295,100 BOX,100,"46,000","4,600,000",,,
509,2020-05,"ABADI FARMA, APTK",DEF013,DEFAMOL KAPLET 100'S,190,100 POT,100,"15,250","1,525,000",,,
510,2020-05,"ABADI FARMA, APTK",DEF014,DENICOL (Chloramphenicol) 250 MG KAPSUL 100'S,115,60 POT,60,"53,500","3,210,000",,,
511,2020-05,"ABADI FARMA, APTK",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"1,995",100 BOX,100,"7,500","750,000",,,
512,2020-05,"ABADI FARMA, APTK",ERG007,PARACETAMOL 500 MG KAPLET 100'S,"1,714",30 BOX,30,"15,500","465,000",,,
513,2020-05,"ABADI FARMA, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"11,930",100 BOX,100,"7,600","760,000",,,
514,2020-05,"ABADI FARMA, APTK",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,"1,096",50 BOX,50,"20,000","1,000,000",,,
515,2020-05,"ABADI FARMA, APTK",ERT001,ETABION KAPSUL 100'S,"1,280",15 BOX,15,"21,500","322,500",,,
516,2020-05,"ABADI FARMA, APTK",ERT007,ETADEXTA KAPLET 100'S,194,20 BOX,20,"12,750","255,000",,,
517,2020-05,"ABADI FARMA, APTK",ERT022,ETAMOXUL KAPLET 100'S,324,10 BOX,10,"22,750","227,500",,,
518,2020-05,"ABADI FARMA, APTK",IFR013,ELTAZON KAPLET 100'S/BLISTER,66,15 BOX,15,"15,750","236,250",,,
519,2020-05,"ABADI FARMA, APTK",NPG017,KETOKONAZOLE 200 MG TABLET 50'S,401,20 BOX,20,"23,000","460,000",,,
520,2020-05,"ABADI FARMA, APTK",NPG018,IBUPROFEN 400 MG TABLET 100'S,257,10 BOX,10,"19,500","195,000",,,
521,2020-05,"ABADI FARMA, APTK",NPG049,SIMVASTATIN 10 MG TABLET 100'S,312,50 BOX,50,"12,500","625,000",,,
522,2020-05,"ABADI FARMA, APTK",NPH003,NOVABIOTIC 500 MG KAPLET 100's,280,5 BOX,5,"58,000","290,000",,,
523,2020-05,"ABADI FARMA, APTK",NPH055,NOVAGESIC KAPLET 100'S (POT),264,60 POT,60,"16,500","990,000",,,
524,2020-05,"ABADI FARMA, APTK",NPH060,"NOVADEX 0,5 MG TABLET 100'S (POT)","3,249",100 POT,100,"4,000","400,000",,,
525,2020-05,"ABADI FARMA, APTK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,325,10 BOX,10,"15,000","150,000",,,
526,2020-05,"ABADI FARMA, APTK",SMC001,SAMCOBION KAPSUL 100's,"2,114",10 BOX,10,"17,750","177,500",,,
527,2020-05,"ABADI FARMA, APTK",SMC019,"SAMCODIN (Dextromethorpan HBr, GG, CTM) TABLET 100'S","2,215",10 BOX,10,"47,000","470,000",,,
528,2020-05,"ABADI FARMA, APTK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,195,40 BOX,40,"46,000","1,840,000",,,
529,2020-05,"ABADI FARMA, APTK",SMC026,SAMQUINOR (Ciprofloxacin HCl) 500 MG KAPLET 100'S,158,10 BOX,10,"46,000","460,000",,,
530,2020-05,"ABADI FARMA, APTK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"1,344",60 BTL,60,"4,750","285,000",,,
531,2020-05,"ABADI FARMA, APTK",SPD004,MEXON TABLET 100'S,368,20 BOX,20,"20,000","400,000",,,
532,2020-05,"ABADI FARMA, APTK",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,521,20 BOX,20,"19,500","390,000",,,
533,2020-05,"ABADI FARMA, APTK",TRM034,BIONCE KAPSUL 100'S,95,10 BOX,10,"18,000","180,000",,,
534,2020-05,"ABADI FARMA, APTK",TRMG003,PREDNISON 5 MG TABLET 100'S,597,10 BOX,10,"12,500","125,000",,,
535,2020-05,"ABADI FARMA, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,"3,336",20 BOX,20,"7,800","156,000",,,
536,2020-05,"SAUDARA KEMBAR, APOTEK",NPG040,AMBROXOL 30 MG TABLET 100'S,"2,898",200 BOX,200,"8,500","1,700,000",,,
537,2020-05,"SAUDARA KEMBAR, APOTEK",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),"14,050","3,000 POT","3,000","5,800","17,400,000",,,
538,2020-05,TO. NOVANN NIAGA NASIONAL,AFI021,DUN SALEP (Icthammolum) 15 GR POT/ 12'S,"1,128",300 POT,300,"4,650","1,395,000",,,
539,2020-05,TO. NOVANN NIAGA NASIONAL,ERT001,ETABION KAPSUL 100'S,"1,265",100 BOX,100,"21,500","2,150,000",,,
540,2020-05,TO. NOVANN NIAGA NASIONAL,ERT028,ETAFEN SYRUP 60 ML,450,350 BTL,350,"4,400","1,540,000",,,
541,2020-05,TO. NOVANN NIAGA NASIONAL,NPH008,NOVAKAL 500 MG KAPLET 100's,455,25 BOX,25,"12,500","312,500",,,
542,2020-05,TO. NOVANN NIAGA NASIONAL,RAM001,CALORTUSIN KAPLET 100's,645,50 BOX,50,"41,000","2,050,000",,,
543,2020-05,TO. NOVANN NIAGA NASIONAL,RAM011,TERA F KAPLET 100's,465,100 BOX,100,"40,000","4,000,000",,,
544,2020-05,TO. NOVANN NIAGA NASIONAL,SMC021,COD LIVER OIL KAPSUL 100'S,158,120 BTL,120,"18,870","2,264,400",,,
545,2020-05,TO. NOVANN NIAGA NASIONAL,YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML","2,010",500 BTL,500,"5,600","2,800,000",,,
546,2020-05,"SHAKA FARMA, APOTEK",AFI020,"SALEP 2-4 (As. salisilat, sulfur praecipitatum) 15 GR POT/10'S",265,20 POT,20,"3,350","67,000",,,
547,2020-05,"SHAKA FARMA, APOTEK",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"1,895",20 BOX,20,"7,500","150,000",,,
548,2020-05,"SHAKA FARMA, APOTEK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,377,15 BOX,15,"54,750","821,250",,,
549,2020-05,"SHAKA FARMA, APOTEK",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,"1,145",100 BTL,100,"4,800","480,000",,,
550,2020-05,"SHAKA FARMA, APOTEK",ERT022,ETAMOXUL KAPLET 100'S,314,20 BOX,20,"22,750","455,000",,,
551,2020-05,"SHAKA FARMA, APOTEK",ERT028,ETAFEN SYRUP 60 ML,145,100 BTL,100,"4,400","440,000",,,
552,2020-05,"SHAKA FARMA, APOTEK",FMP010,FIMEDIAB (Glibenclamide 5 mg) KAPLET 100'S,40,20 BOX,20,"14,000","280,000",,,
553,2020-05,"SHAKA FARMA, APOTEK",IFR013,ELTAZON KAPLET 100'S/BLISTER,51,15 BOX,15,"15,750","236,350",,,
554,2020-05,"SHAKA FARMA, APOTEK",IFR021,FAXIDEN 20 MG KAPLET 100'S,177,20 BOX,20,"19,950","399,000",,,
555,2020-05,"SHAKA FARMA, APOTEK",IFR040,ROVERTON KAPLET 100'S,90,30 BOX,30,"15,900","477,000",,,
556,2020-05,"SHAKA FARMA, APOTEK",IFR042,SCOPMA PLUS KAPLET 100'S,20,5 BOX,5,"113,000","565,000",,,
557,2020-05,"SHAKA FARMA, APOTEK",IFR048,TRIANTA SYRUP 60 ML,52,48 BTL,48,"5,450","261,600",,,
558,2020-05,"SHAKA FARMA, APOTEK",IFR102,YUSIMOX FORTE SYRUP 60 ML,250,45 BTL,45,"5,200","234,000",,,
559,2020-05,"SHAKA FARMA, APOTEK",MBFG001,ONDANSETRON hci dihidrate 4 MG TAB 30'S,35,15 BOX,15,"11,000","165,000",,,
560,2020-05,"SHAKA FARMA, APOTEK",MLX010,MOLAPECT(Ambroxol HCI)15 mg/5 ml Syr 60 ml,80,60 BTL,60,"5,950","357,000",,,
561,2020-05,"SHAKA FARMA, APOTEK",NPG052,PIROXICAM 10 MG TABLET 100'S,488,30 BOX,30,"7,800","234,000",,,
562,2020-05,"SHAKA FARMA, APOTEK",NPG053,LORATADINE 10 MG TABLET 100'S,335,15 BOX,15,"13,500","202,500",,,
563,2020-05,"SHAKA FARMA, APOTEK",NPG054,MELOXICAM 15 MG TABLET 100'S,268,30 BOX,30,"21,000","630,000",,,
564,2020-05,"SHAKA FARMA, APOTEK",NPH004,NOVACHLOR SYRUP 60 ML,597,120 BTL,120,"7,000","840,000",,,
565,2020-05,"SHAKA FARMA, APOTEK",NPH006,NOVAGESIC SYRUP 60 ML,"2,088",48 BTL,48,"3,900","187,200",,,
566,2020-05,"SHAKA FARMA, APOTEK",NPH009,NOVAMAG TABLET 100's,354,30 BOX,30,"17,500","525,000",,,
567,2020-05,"SHAKA FARMA, APOTEK",NPH010,NOVAMOX SYRUP 60 ML,"5,165",120 BTL,120,"5,600","672,000",,,
568,2020-05,"SHAKA FARMA, APOTEK",NPH015,NOVAFLOX 500 MG KAPLET 100's,"1,394",15 BOX,15,"46,000","690,000",,,
569,2020-05,"SHAKA FARMA, APOTEK",NPH016,NOVADRYL SYRUP 60 ML,515,60 BTL,60,"3,600","216,000",,,
570,2020-05,"SHAKA FARMA, APOTEK",NPH025,NOVACHLOR KAPSUL 100's,338,15 BOX,15,"59,000","885,000",,,
571,2020-05,"SHAKA FARMA, APOTEK",NPH026,NOVAMOX 500 MG KAPLET 100's,133,15 BOX,15,"49,500","742,500",,,
572,2020-05,"SHAKA FARMA, APOTEK",NPH027,"NOVADEX 0,5 MG TABLET 200's",324,15 BOX,15,"16,500","247,500",,,
573,2020-05,"SHAKA FARMA, APOTEK",NPH029,NOVADIUM TABLET 100's,181,30 BOX,30,"11,000","330,000",,,
574,2020-05,"SHAKA FARMA, APOTEK",NPH032,NOVAXIFEN 100 MG SYRUP 60 ML (Strawberry),"1,468",60 BTL,60,"4,250","255,000",,,
575,2020-05,"SHAKA FARMA, APOTEK",NPH045,NUVOPEC TABLET 100's,378,30 BOX,30,"16,000","480,000",,,
576,2020-05,"SHAKA FARMA, APOTEK",NPH068,CEFFORD 125 DS 60 ML,360,60 BTL,60,"6,700","402,000",,,
577,2020-05,"SHAKA FARMA, APOTEK",NPH089,FERBION(Vitamin dan Mineral)Kapsul 100'S,"2,280",20 BOX,20,"18,000","360,000",,,
578,2020-05,"SHAKA FARMA, APOTEK",PROG022,MEFENAMIC ACID 500 MG KAPLET 100'S,"1,046",50 BOX,50,"20,000","1,000,000",,,
579,2020-05,"SHAKA FARMA, APOTEK",RAM011,TERA F KAPLET 100's,365,15 BOX,15,"40,000","600,000",,,
580,2020-05,"SHAKA FARMA, APOTEK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"1,284",180 BTL,180,"4,750","855,000",,,
581,2020-05,"SHAKA FARMA, APOTEK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,290,15 BOX,15,"18,500","277,500",,,
582,2020-05,"SHAKA FARMA, APOTEK",TRM003,"TRIDEXON 0,5 MG KAPLET 100'S (POT)","2,515",100 POT,100,"3,700","370,000",,,
583,2020-05,"SHAKA FARMA, APOTEK",TRM026,SEVOS 4 MG TABLET 100'S,755,20 BOX,20,"17,000","340,000",,,
584,2020-05,"SHAKA FARMA, APOTEK",TRMG006,DOMPERIDONE MALEAT 10 MG TABLET 100'S,715,15 BOX,15,"15,000","225,000",,,
585,2020-05,"HOLLY FARMA, APTK",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,996,100 BOX,100,"20,000","2,000,000",,,
586,2020-05,"BONA RAYA, APT",ERG005,COTRIMOXAZOLE 480 MG KAPLET 100'S,137,20 BOX,20,"22,250","445,000",,,
587,2020-05,"BONA RAYA, APT",ERG024,DOMPERIDONE SUSPENSI 60 ML,750,24 BTL,24,"3,350","80,400",,,
588,2020-05,"BONA RAYA, APT",ERT001,ETABION KAPSUL 100'S,"1,165",10 BOX,10,"21,500","215,000",,,
589,2020-05,"BONA RAYA, APT",IFR013,ELTAZON KAPLET 100'S/BLISTER,36,10 BOX,10,"15,750","157,500",,,
590,2020-05,"BONA RAYA, APT",IFR040,ROVERTON KAPLET 100'S,60,10 BOX,10,"15,900","159,000",,,
591,2020-05,"BONA RAYA, APT",IFR082,YUSIMOX KAPLET 500 MG 100'S,80,20 BOX,20,"52,000","1,040,000",,,
592,2020-05,"BONA RAYA, APT",MLX010,MOLAPECT(Ambroxol HCI)15 mg/5 ml Syr 60 ml,20,12 BTL,12,"5,950","71,400",,,
593,2020-05,"BONA RAYA, APT",NPG011,METRONIDAZOLE 500 MG TABLET 100's,471,50 BOX,50,"16,500","825,000",,,
594,2020-05,"BONA RAYA, APT",NPG024,PIROXICAM 20 MG TABLET 100's,894,20 BOX,20,"10,500","210,000",,,
595,2020-05,"BONA RAYA, APT",NPG033,PAPAVERIN TABLET 100's,68,20 BOX,20,"33,000","660,000",,,
596,2020-05,"BONA RAYA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,"2,698",20 BOX,20,"8,500","170,000",,,
597,2020-05,"BONA RAYA, APT",NPG054,MELOXICAM 15 MG TABLET 100'S,238,20 BOX,20,"21,000","420,000",,,
598,2020-05,"BONA RAYA, APT",NPG055,"MELOXICAM 7,5 MG TABLET 100'S","1,436",10 BOX,10,"12,500","125,000",,,
599,2020-05,"BONA RAYA, APT",NPH023,NOVAMAG SYRUP 60 ML,"1,260",60 BTL,60,"4,800","288,000",,,
600,2020-05,"BONA RAYA, APT",PROG022,MEFENAMIC ACID 500 MG KAPLET 100'S,896,80 BOX,80,"20,000","1,600,000",,,
601,2020-05,"BONA RAYA, APT",RAM021,RAMADRYL EKSPEKTORAN SYRUP 60 ML,658,50 BTL,50,"3,600","180,000",,,
602,2020-05,"BONA RAYA, APT",SMC001,SAMCOBION KAPSUL 100's,"2,104",6 BOX,6,"17,750","106,500",,,
603,2020-05,"BONA RAYA, APT",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,155,20 BOX,20,"46,000","920,000",,,
604,2020-05,"BONA RAYA, APT",SOL002,ORPHEN 4 MG KAPLET 200'S,385,6 BOX,6,"14,000","84,000",,,
605,2020-05,"BONA RAYA, APT",TRMG002,ALLOPURINOL 100 MG TABLET 100'S,537,20 BOX,20,"14,500","290,000",,,
606,2020-05,"BONA RAYA, APT",TRMG016,PARACETAMOL 500 MG KAPLET 100'S,"1,684",100 BOX,100,"15,500","1,550,000",,,
607,2020-05,"BONA RAYA, APT",YKT008,YEFAMOX 500 MG KAPLET 100's,256,10 BOX,10,"47,500","475,000",,,
608,2020-05,"BONA RAYA, APT",ZNT039,COLDREXIN SYRUP 60 ML,992,48 BTL,48,"6,200","297,600",,,
609,2020-05,"NAURA, APOTEK",ERT001,ETABION KAPSUL 100'S,"1,155",100 BOX,100,"21,500","2,150,000",,,
610,2020-05,"NAURA, APOTEK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,362,100 BOX,100,"54,750","5,475,000",,,
611,2020-05,"NAURA, APOTEK",LAN001,"LANADEXON 0,5 MG KALPET 100'S",170,30 BOX,30,"12,000","360,000",,,
612,2020-05,"NAURA, APOTEK",SMC018,SAMTACID TABLET 100'S,"2,450",130 BOX,130,"20,650","2,684,500",,,
613,2020-05,"NAURA, APOTEK",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,501,100 BOX,100,"19,500","1,950,000",,,
614,2020-05,"NAURA, APOTEK",TRMG002,ALLOPURINOL 100 MG TABLET 100'S,517,100 BOX,100,"14,500","1,450,000",,,
615,2020-05,"NAURA, APOTEK",TRMG006,DOMPERIDONE MALEAT 10 MG TABLET 100'S,715,200 BOX,200,"15,000","3,000,000",,,
616,2020-05,"NAURA, APOTEK",TRMG016,PARACETAMOL 500 MG KAPLET 100'S,"1,584",100 BOX,100,"15,500","1,550,000",,,
617,2020-06,"CHACHA, APOTEK",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,816,4 BOX,4,"20,000","80,000",,,
618,2020-06,"CHACHA, APOTEK",LAN001,"LANADEXON 0,5 MG KALPET 100'S",140,10 BOX,10,"12,000","120,000",,,
619,2020-06,"CHACHA, APOTEK",NPG011,METRONIDAZOLE 500 MG TABLET 100's,421,4 BOX,4,"16,500","66,000",,,
620,2020-06,"CHACHA, APOTEK",NPH025,NOVACHLOR KAPSUL 100's,323,2 BOX,2,"59,000","118,000",,,
621,2020-06,"CHACHA, APOTEK",NPH055,NOVAGESIC KAPLET 100'S (POT),204,4 POT,4,"16,500","66,000",,,
622,2020-06,"CHACHA, APOTEK",RAG002,ANTASIDA SYRUP 60 ML,100,100 BTL,100,"2,850","285,000",,,
623,2020-06,"CHACHA, APOTEK",RAM030,ERYRA FORTE TABLET 100's,320,8 BOX,8,"91,000","728,000",,,
624,2020-06,"CHACHA, APOTEK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"1,104",36 BTL,36,"4,750","171,000",,,
625,2020-06,"CHACHA, APOTEK",SOL010,SOLPENOX (Amoxicillin) 500 MG KAPLET 100'S,38,3 BOX,3,"47,500","142,500",,,
626,2020-06,"CHACHA, APOTEK",TRMG001,ANTASIDA DOEN TABLET 100'S (POT),"4,096",5 POT,5,"6,700","33,500",,,
627,2020-06,"CHACHA, APOTEK",YKT033,PACETIK 500 MG KAPLET 100's ( POT ),235,5 POT,5,"15,500","77,500",,,
628,2020-06,"SAROHA, APOTEK",NPG057,CETIRIZINE HYDROCHLORIDE 10 MG TABLET 100'S,"1,852",50 BOX,50,"7,500","375,000",,,
629,2020-06,"SAROHA, APOTEK",YKT001,PACETIK 500 MG KAPLET 100's,235,50 BOX,50,"19,500","975,000",,,
630,2020-06,"KARUNIA, APT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"1,875",200 BOX,200,"7,500","1,500,000",,,
631,2020-06,"KARUNIA, APT",ERT001,ETABION KAPSUL 100'S,"1,055",100 BOX,100,"21,500","2,150,000",,,
